2004-Feb-22 14:18,36.26086,9.88343,210.92268,71.517
2004-Feb-22 15:59,36.22688,9.90343,210.57282,71.493
2004-Feb-22 16:00,36.22639,9.90361,210.56970,71.492
2004-Feb-22 16:01,36.22589,9.90379,210.56658,71.492
2004-Feb-22 16:02,36.2254,9.90397,210.56346,71.492
2004-Feb-22 16:03,36.2249,9.90414,210.56034,71.491
2004-Feb-22 17:44,36.16258,9.91875,210.29370,71.446
2004-Feb-22 17:45,36.16186,9.91886,210.29160,71.446
2004-Feb-22 17:46,36.16115,9.91896,210.28950,71.445
2004-Feb-22 17:47,36.16043,9.91907,210.28740,71.445
2004-Feb-22 17:48,36.15971,9.91917,210.28536,71.444
2004-Feb-23 07:44,36.15715,9.83316,210.49962,71.414
2004-Feb-23 07:45,36.15789,9.83321,210.49752,71.414
2004-Feb-23 07:46,36.15864,9.83326,210.49542,71.415
2004-Feb-23 07:47,36.15938,9.83332,210.49332,71.415
2004-Feb-23 07:48,36.16012,9.83337,210.49116,71.416
2004-Feb-23 09:29,36.22509,9.84361,210.22080,71.462
2004-Feb-23 09:30,36.22561,9.84376,210.21762,71.462
2004-Feb-23 09:31,36.22613,9.8439,210.21444,71.463
2004-Feb-23 09:32,36.22664,9.84404,210.21126,71.463
2004-Feb-23 09:33,36.22716,9.84419,210.20808,71.464
2004-Feb-23 11:14,36.26297,9.86201,209.85432,71.49
2004-Feb-23 11:15,36.26315,9.86221,209.85060,71.49
2004-Feb-23 11:16,36.26334,9.86241,209.84688,71.49
2004-Feb-23 11:17,36.26351,9.86261,209.84316,71.49
2004-Feb-23 11:18,36.26369,9.86282,209.83944,71.49
2004-Feb-23 12:59,36.26289,9.88406,209.45958,71.49
2004-Feb-23 13:00,36.2627,9.88427,209.45586,71.49
2004-Feb-23 13:01,36.26251,9.88449,209.45220,71.49
2004-Feb-23 13:02,36.26232,9.8847,209.44848,71.49
2004-Feb-23 13:03,36.26212,9.88491,209.44482,71.49
2004-Feb-23 14:44,36.22539,9.90482,209.09958,71.464
2004-Feb-23 14:45,36.22488,9.905,209.09652,71.464
2004-Feb-23 14:46,36.22436,9.90517,209.09340,71.463
2004-Feb-23 14:47,36.22384,9.90535,209.09040,71.463
2004-Feb-23 14:48,36.22331,9.90552,209.08734,71.462
2004-Feb-23 16:29,36.15891,9.91969,208.82874,71.416
2004-Feb-23 16:30,36.15818,9.91979,208.82670,71.415
2004-Feb-23 16:31,36.15745,9.91989,208.82472,71.415
2004-Feb-23 16:32,36.15672,9.91999,208.82274,71.414
2004-Feb-23 16:33,36.15598,9.92009,208.82076,71.414
2004-Feb-23 16:46,36.14634,9.92129,208.79604,71.407
2004-Feb-23 16:50,36.14334,9.92163,208.78884,71.404
2004-Feb-23 16:53,36.14107,9.92187,208.78356,71.403
2004-Feb-23 16:57,36.13804,9.92219,208.77666,71.401
2004-Feb-23 17:01,36.13499,9.92249,208.77000,71.398
2004-Feb-23 17:04,36.1327,9.9227,208.76514,71.397
2004-Feb-23 17:08,36.12963,9.92298,208.75878,71.394
2004-Feb-23 17:11,36.12732,9.92317,208.75416,71.393
2004-Feb-23 17:15,36.12423,9.92342,208.74816,71.39
2004-Feb-23 17:19,36.12113,9.92365,208.74234,71.388
2004-Feb-23 17:23,36.11802,9.92387,208.73676,71.386
2004-Feb-23 17:27,36.1149,9.92407,208.73136,71.384
2004-Feb-23 17:31,36.11178,9.92426,208.72614,71.381
2004-Feb-23 17:41,36.10395,9.92466,208.71396,71.375
2004-Feb-23 17:45,36.10081,9.9248,208.70946,71.373
2004-Feb-23 17:48,36.09845,9.92489,208.70622,71.371
2004-Feb-23 17:52,36.09531,9.92499,208.70202,71.369
2004-Feb-23 17:56,36.09217,9.92508,208.69806,71.367
2004-Feb-23 17:59,36.08981,9.92514,208.69524,71.365
2004-Feb-23 18:03,36.08667,9.9252,208.69158,71.363
2004-Feb-23 18:06,36.08431,9.92524,208.68900,71.361
2004-Feb-23 18:10,36.08118,9.92528,208.68576,71.358
2004-Feb-23 18:14,36.07804,9.9253,208.68264,71.356
2004-Feb-23 18:18,36.07492,9.9253,208.67976,71.354
2004-Feb-23 18:22,36.0718,9.92529,208.67712,71.351
2004-Feb-23 18:26,36.06868,9.92526,208.67460,71.349
2004-Feb-23 19:56,36.00284,9.92051,208.66950,71.299
2004-Feb-23 20:09,35.99437,9.9192,208.67628,71.293
2004-Feb-23 20:22,35.98626,9.91773,208.68486,71.286
2004-Feb-23 20:35,35.97855,9.91612,208.69506,71.28
2004-Feb-23 20:48,35.97125,9.91437,208.70682,71.274
2004-Feb-23 21:01,35.9644,9.91248,208.72008,71.269
2004-Feb-23 21:14,35.95803,9.91047,208.73478,71.264
2004-Feb-23 21:27,35.95216,9.90834,208.75074,71.259
2004-Feb-23 21:46,35.94453,9.90503,208.77618,71.253
2004-Feb-23 21:51,35.94271,9.90412,208.78326,71.251
2004-Feb-23 21:56,35.94098,9.9032,208.79046,71.25
